model_path,HW,CIN,COUT,KERNEL_SIZE,POOL_STRIDES,latency
avgpool_prior_MF7EBB.pt,112,251,251,3,1,0.004439660000000001
avgpool_prior_LYENQK.pt,14,58,58,2,2,0.004506639999999999
avgpool_prior_ND3W5V.pt,14,489,489,2,2,0.004464060000000002
avgpool_prior_BR6ULL.pt,112,54,54,2,2,0.00439082
avgpool_prior_4GNXK2.pt,112,186,186,2,2,0.004365560000000001
avgpool_prior_3913TZ.pt,112,72,72,3,1,0.00451292
avgpool_prior_3FRT1Y.pt,112,192,192,3,2,0.00439998
avgpool_prior_FNWJFV.pt,14,499,499,2,2,0.0044973
avgpool_prior_ORZVGU.pt,112,61,61,2,2,0.004442360000000001
avgpool_prior_8DSYFZ.pt,112,58,58,2,1,0.00447546
avgpool_prior_CGL7ZF.pt,112,535,535,3,2,0.00445364
avgpool_prior_MAY3FV.pt,112,376,376,2,2,0.00501242
avgpool_prior_7JQBIN.pt,28,69,69,2,2,0.0044099
avgpool_prior_OVWARB.pt,112,67,67,2,2,0.00448196
avgpool_prior_LC1UNW.pt,14,180,180,3,1,0.00442668
avgpool_prior_N8GWE6.pt,56,147,147,3,1,0.0044636599999999995
avgpool_prior_8XAL0W.pt,14,481,481,2,1,0.004513679999999999
avgpool_prior_JY4TNE.pt,112,492,492,2,2,0.00440398
avgpool_prior_YN0IPG.pt,28,128,128,2,2,0.00440622
avgpool_prior_GZWSI5.pt,14,372,372,3,1,0.0045177
avgpool_prior_5H96P0.pt,112,73,73,2,2,0.004444220000000001
avgpool_prior_ZEDD82.pt,112,383,383,3,1,0.0044153
avgpool_prior_GV5FL3.pt,14,494,494,2,2,0.004452059999999998
avgpool_prior_H1O7DN.pt,112,54,54,3,2,0.0048631
avgpool_prior_XX8WNN.pt,14,60,60,3,2,0.00448324
avgpool_prior_71FIGK.pt,224,246,246,2,2,0.0043952800000000005
avgpool_prior_36L536.pt,112,473,473,2,2,0.004440740000000001
avgpool_prior_Q35HGL.pt,112,90,90,2,2,0.004511900000000001
avgpool_prior_5NGXCP.pt,28,67,67,3,2,0.004473259999999999
avgpool_prior_33TRZ7.pt,28,78,78,3,2,0.0044740599999999985
avgpool_prior_M9T8T7.pt,112,495,495,3,2,0.005010159999999999
avgpool_prior_Z2GFVS.pt,28,246,246,3,2,0.00442178
avgpool_prior_E4P68S.pt,112,502,502,3,2,0.0044525599999999995
avgpool_prior_ILISDY.pt,14,57,57,3,2,0.0044704
avgpool_prior_9VELV0.pt,56,61,61,3,1,0.00439982
avgpool_prior_TUJ0TF.pt,14,510,510,3,2,0.00445938
avgpool_prior_1U613A.pt,14,251,251,2,2,0.004926580000000001
avgpool_prior_NXYOKQ.pt,28,841,841,3,1,0.0044962199999999996
avgpool_prior_A3QA60.pt,28,74,74,3,1,0.0044464000000000005
avgpool_prior_X1LISM.pt,28,469,469,2,2,0.00451766
avgpool_prior_XDHIKZ.pt,14,59,59,3,2,0.004511619999999999
avgpool_prior_UA5ULR.pt,56,60,60,2,2,0.0045184000000000005
avgpool_prior_CT0NXI.pt,14,59,59,2,2,0.0044999
avgpool_prior_81MNBA.pt,112,484,484,3,2,0.004842979999999999
avgpool_prior_ENUBL8.pt,14,845,845,3,2,0.00446668
avgpool_prior_EV3CM2.pt,28,503,503,2,2,0.004403840000000001
avgpool_prior_P8ZBBG.pt,28,50,50,3,2,0.00445798
avgpool_prior_X2MZM7.pt,56,72,72,2,2,0.0044602
avgpool_prior_R6PVXX.pt,112,495,495,3,1,0.0044183600000000005
avgpool_prior_ZNFD2C.pt,112,147,147,2,2,0.0044487599999999995
avgpool_prior_XAAPDZ.pt,28,80,80,2,1,0.00451764
avgpool_prior_CCIV1H.pt,112,99,99,2,2,0.0044221999999999985
avgpool_prior_ULCZEZ.pt,28,253,253,2,2,0.004425940000000001
avgpool_prior_DJ3X09.pt,14,508,508,3,2,0.0044871799999999995
avgpool_prior_RJIF7Z.pt,112,485,485,2,2,0.0046122
avgpool_prior_OVR3IN.pt,224,238,238,3,2,0.00438606
avgpool_prior_354DOF.pt,112,52,52,2,2,0.004482380000000002
avgpool_prior_VLDCCG.pt,56,483,483,2,2,0.0045276199999999996
avgpool_prior_K8Z9PJ.pt,28,150,150,2,2,0.0044499
avgpool_prior_M8YIIR.pt,112,499,499,3,2,0.0044166
avgpool_prior_11KAZ0.pt,112,193,193,2,2,0.00435082
avgpool_prior_IXJ36T.pt,56,525,525,2,2,0.004449659999999999
avgpool_prior_0Y3JK3.pt,56,179,179,3,1,0.00444688
avgpool_prior_34OLUA.pt,112,503,503,3,2,0.00440752
avgpool_prior_9Z6ACG.pt,14,234,234,2,2,0.00439964
avgpool_prior_W0BUAB.pt,56,824,824,3,2,0.004389220000000001
avgpool_prior_JD8N8T.pt,112,382,382,3,2,0.0044196999999999995
avgpool_prior_UBCC8X.pt,28,248,248,3,2,0.004538060000000001
avgpool_prior_63LLG4.pt,14,241,241,2,2,0.00446266
avgpool_prior_09F8PU.pt,112,57,57,3,2,0.00441426
avgpool_prior_NU81FU.pt,28,68,68,2,2,0.004410900000000001
avgpool_prior_NJYXN2.pt,56,237,237,2,1,0.004438520000000001
avgpool_prior_TVWAXE.pt,112,81,81,3,2,0.004440820000000001
avgpool_prior_0TYFOD.pt,112,512,512,2,2,0.0044524
avgpool_prior_XFQG2F.pt,14,63,63,2,2,0.004587099999999999
avgpool_prior_8SKYFH.pt,14,44,44,2,2,0.0044243400000000006
avgpool_prior_2WLC02.pt,28,238,238,2,1,0.004394719999999999
avgpool_prior_M67EFR.pt,112,520,520,3,2,0.004426299999999999
avgpool_prior_AMNM6D.pt,14,133,133,3,2,0.00446574
avgpool_prior_PMY6EM.pt,56,504,504,3,2,0.004419920000000001
avgpool_prior_66G8M1.pt,28,245,245,2,2,0.004437679999999999
avgpool_prior_WU8BAU.pt,14,836,836,2,1,0.00444278
avgpool_prior_BRSWYG.pt,28,50,50,2,1,0.0044122
avgpool_prior_2REOH2.pt,14,498,498,2,2,0.00445874
avgpool_prior_MGK4VY.pt,14,69,69,2,2,0.00442526
avgpool_prior_TYBI14.pt,112,240,240,3,2,0.00439264
avgpool_prior_R04F0J.pt,14,513,513,2,1,0.0044867200000000005
avgpool_prior_A0KB7U.pt,14,72,72,2,2,0.00441602
avgpool_prior_RW69CH.pt,56,508,508,2,2,0.004428180000000001
avgpool_prior_0FNOYZ.pt,28,50,50,3,2,0.004455219999999999
avgpool_prior_JHD8UO.pt,112,242,242,3,2,0.00441952
avgpool_prior_HBYFKN.pt,112,481,481,3,1,0.0044548999999999995
avgpool_prior_WPUNN9.pt,14,232,232,2,2,0.004458780000000001
avgpool_prior_4TCAV1.pt,56,499,499,3,2,0.004428339999999999
avgpool_prior_QZ2DD6.pt,28,494,494,2,2,0.00444564
avgpool_prior_K8MWXE.pt,28,498,498,2,2,0.0044905
avgpool_prior_JQNJOH.pt,14,241,241,2,1,0.004402679999999999
avgpool_prior_H6E7HW.pt,112,496,496,2,1,0.0043587
avgpool_prior_NP0NXA.pt,112,192,192,2,2,0.0043777
avgpool_prior_S74EL7.pt,56,497,497,3,2,0.004451539999999999
avgpool_prior_JECTZ3.pt,112,508,508,3,2,0.004393840000000001
avgpool_prior_SOYAMO.pt,56,52,52,3,2,0.004438339999999998
avgpool_prior_WF39TS.pt,14,62,62,2,2,0.004469879999999999
avgpool_prior_9C8YL4.pt,56,238,238,2,2,0.00450566
avgpool_prior_ODG1HF.pt,56,145,145,3,2,0.00445486
avgpool_prior_B1STTZ.pt,224,1030,1030,3,2,0.004334219999999999
avgpool_prior_O7F7YJ.pt,112,250,250,2,2,0.004409619999999999
avgpool_prior_6QE18T.pt,14,492,492,2,2,0.00446388
avgpool_prior_BO642Y.pt,112,1050,1050,3,2,0.004514239999999999
avgpool_prior_EC3LB3.pt,112,483,483,2,2,0.00441878
avgpool_prior_715H1A.pt,112,504,504,2,2,0.004392260000000001
avgpool_prior_R2Q86V.pt,56,187,187,2,2,0.004432759999999999
avgpool_prior_YKPZB8.pt,112,230,230,2,2,0.004554600000000001
avgpool_prior_SICPFJ.pt,28,69,69,3,2,0.004464340000000001
avgpool_prior_UBGIR6.pt,28,143,143,3,2,0.004420180000000001
avgpool_prior_YTJXN7.pt,14,489,489,3,2,0.00451822
avgpool_prior_JFG70G.pt,14,251,251,3,2,0.004483979999999999
avgpool_prior_LGG5PB.pt,112,471,471,2,2,0.0044329
avgpool_prior_PHLTOF.pt,28,55,55,3,2,0.004555
avgpool_prior_RR6VEL.pt,28,241,241,2,2,0.004462559999999999
avgpool_prior_D684GD.pt,56,50,50,3,2,0.00451492
avgpool_prior_KRUJ1I.pt,112,513,513,2,2,0.004427180000000002
avgpool_prior_Z1PW3I.pt,112,826,826,2,2,0.00474582
avgpool_prior_DTZGDO.pt,14,502,502,3,2,0.00490408
avgpool_prior_KQ3H38.pt,112,62,62,3,2,0.00448518
avgpool_prior_NXUNIN.pt,28,187,187,3,2,0.0044827600000000006
avgpool_prior_M52KP6.pt,14,204,204,2,2,0.0044824999999999995
avgpool_prior_QYJGSY.pt,28,51,51,3,2,0.00444806
avgpool_prior_87YJ8S.pt,224,236,236,3,1,0.0046156800000000005
avgpool_prior_X2B791.pt,14,70,70,2,2,0.0044881600000000015
avgpool_prior_EFHFTN.pt,28,137,137,3,2,0.0044513
avgpool_prior_MSDS3S.pt,14,183,183,3,2,0.0045227
avgpool_prior_UK27RU.pt,112,497,497,2,2,0.00444726
avgpool_prior_CA92TW.pt,28,64,64,2,1,0.0045586199999999985
avgpool_prior_ERU8O1.pt,14,512,512,3,2,0.00445926
avgpool_prior_OFN2QY.pt,14,512,512,3,2,0.00445008
avgpool_prior_3NB5HF.pt,112,75,75,3,2,0.004435979999999999
avgpool_prior_1MAC33.pt,14,30,30,2,2,0.00444516
avgpool_prior_QVEGIH.pt,14,490,490,2,2,0.0045051399999999995
avgpool_prior_JBDE6E.pt,14,50,50,3,2,0.0045236600000000005
avgpool_prior_QIROQ1.pt,14,69,69,2,2,0.004554000000000001
avgpool_prior_G5U31C.pt,14,74,74,3,2,0.004493560000000001
avgpool_prior_THMSRL.pt,112,150,150,2,1,0.004414279999999999
avgpool_prior_1PDUO2.pt,112,504,504,3,1,0.004468860000000002
avgpool_prior_CTUOUY.pt,112,843,843,2,2,0.004512259999999999
avgpool_prior_FBH998.pt,14,232,232,3,2,0.004518659999999999
avgpool_prior_M508BJ.pt,112,489,489,2,2,0.0044361600000000015
avgpool_prior_LHEON6.pt,112,135,135,3,1,0.0044135400000000005
avgpool_prior_75E68K.pt,14,56,56,3,2,0.00440754
avgpool_prior_HF74R0.pt,14,64,64,3,1,0.004558660000000001
avgpool_prior_MIKNJR.pt,28,833,833,3,2,0.00442414
avgpool_prior_K4UCBN.pt,56,496,496,3,2,0.00441966
avgpool_prior_T2OEGR.pt,56,136,136,2,2,0.004568119999999999
avgpool_prior_TOD7B1.pt,14,500,500,2,2,0.0044502199999999995
avgpool_prior_E35ZKV.pt,14,500,500,2,2,0.00450762
avgpool_prior_P77K5D.pt,14,496,496,3,2,0.004554959999999999
avgpool_prior_EC9GSX.pt,56,57,57,2,2,0.00439246
avgpool_prior_0IA5L4.pt,56,90,90,3,1,0.00448202
avgpool_prior_EDO86H.pt,14,485,485,2,1,0.004403280000000001
avgpool_prior_QUQ6FV.pt,56,500,500,3,2,0.00441768
avgpool_prior_BDC3X6.pt,112,62,62,2,2,0.004449159999999997
avgpool_prior_9KRR3P.pt,112,188,188,2,2,0.00429742
avgpool_prior_ZWZZNT.pt,28,33,33,3,2,0.004461939999999999
avgpool_prior_53BI2K.pt,112,471,471,2,2,0.004444299999999999
avgpool_prior_74GFOM.pt,14,201,201,2,2,0.004437520000000001
avgpool_prior_Q2988Q.pt,112,1053,1053,2,2,0.004481880000000001
avgpool_prior_XE0WDQ.pt,14,146,146,2,2,0.00440678
avgpool_prior_KP078A.pt,224,66,66,2,1,0.004440540000000001
avgpool_prior_BRUNQN.pt,112,483,483,3,2,0.0043697999999999975
avgpool_prior_3MDQPH.pt,56,834,834,2,2,0.004418119999999999
avgpool_prior_65HEHG.pt,14,849,849,2,2,0.004483
avgpool_prior_8BAIIH.pt,14,54,54,2,2,0.00447342
avgpool_prior_2JFRY0.pt,14,502,502,2,2,0.004435699999999999
avgpool_prior_JLVOGU.pt,14,183,183,3,2,0.0044250999999999995
avgpool_prior_156E1O.pt,56,480,480,3,2,0.0045026400000000005
avgpool_prior_VUAAH5.pt,112,71,71,2,2,0.00444324
avgpool_prior_KIIAI4.pt,56,238,238,3,2,0.0043608200000000005
avgpool_prior_Y0Z1I0.pt,14,493,493,3,1,0.004427479999999999
avgpool_prior_CZXSM7.pt,112,231,231,3,2,0.004442379999999998
avgpool_prior_4HTVHY.pt,28,509,509,2,2,0.004462559999999997
avgpool_prior_JKUCOE.pt,14,59,59,2,1,0.0044538400000000014
avgpool_prior_RAS80C.pt,14,512,512,2,2,0.004454840000000001
avgpool_prior_V1WFLV.pt,112,178,178,3,2,0.00443068
avgpool_prior_QF5J2T.pt,112,491,491,3,2,0.004416799999999999
avgpool_prior_O2EZS1.pt,112,75,75,2,2,0.0044567800000000005
avgpool_prior_PC34VW.pt,14,73,73,2,2,0.00445426
avgpool_prior_YLS0PH.pt,14,503,503,2,2,0.00443384
avgpool_prior_UW68VV.pt,14,513,513,2,2,0.00445512
avgpool_prior_JZDPHH.pt,56,80,80,3,2,0.004478
avgpool_prior_00B0Z5.pt,28,505,505,2,2,0.0045514399999999995
avgpool_prior_4Q6R0M.pt,112,826,826,2,2,0.0044297
